City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
61,Conceicao Do Araguaia,BR,83.34,light rain,-8.26,-49.26,Tarumã Tropical Hotel
63,Bredasdorp,ZA,71.6,clear sky,-34.53,20.04,Bredasdorp Country Manor
68,Faanui,PF,79.0,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
69,Diamantino,BR,86.92,clear sky,-14.41,-56.45,Hotel Delta
71,Waingapu,ID,81.5,broken clouds,-9.66,120.26,Pondok Wisata Elim
75,Balkanabat,TM,72.18,few clouds,39.51,54.37,Nebitchi Hotel
76,Antalaha,MG,74.97,scattered clouds,-14.9,50.28,Hotel Vitasoa
77,Buraydah,SA,89.6,clear sky,26.33,43.98,Mövenpick Hotel Qassim
78,Kahului,US,71.6,clear sky,20.89,-156.47,Maui Seaside Hotel
81,Los Llanos De Aridane,ES,86.0,clear sky,28.66,-17.92,Valle Aridane
82,Salamiyah,SY,77.99,broken clouds,35.01,37.05,Gondolas Forum grandchildren and grandparents
84,Maunabo,PR,84.99,overcast clouds,18.01,-65.9,Maunacaribe
